"Timestamp","Did you study or teach in India during the Covid-19 pandemic? (In case of a student or teacher) Or if you are a parent, did your children study in India during the pandemic? (Here the pandemic specifically refers to the period between (between March 2020 and Feb 2022)","Are you a?","In which category of institution did your child study during the pandemic period (between March 2020 and Feb 2022)?","Did the introduction of online classes and remote learning during the pandemic cause financial burden on your family?","How satisfied are you with the way online learning was managed by your child’s school/university during the pandemic?","What challenges has your child faced in online classes? (multiple choices can be selected)","Do you have concerns about your child’s academic competence due to shift towards online learning during the pandemic?","What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)","Which of these is most suitable for you?","What are the improvements your child's institution should have made while providing online education?(Optional question)","In which category of institution did you teach during the  pandemic period (between March 2020 and Feb 2022)?","Were you able to adapt with new ways of teaching?","What was the level of engagement of students  in your virtual classes?","Which of these benefits from online teaching apply to you? (multiple choices can be selected)","What challenges did you face while teaching online?  (multiple choices can be selected)","Did your students ask more questions in Remote Learning as compared to physical classes?","What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)","Which form of education is most suitable according to you?","In which category of institution did you study during the pandemic period? (between March 2020 and Feb 2022)","Which devices have you used most often while learning online?","How often did you attend your online classes ?","Which of these possible benefits from online learning during the pandemic apply to you?  (multiple choices can be selected)","What challenges did you face with online education?  (multiple choices can be selected)","What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)","Was your understanding from online learning satisfactory?","Which form of education is most suitable according to you?"
"2022/11/01 7:49:35 am GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","Yes ,it had a considerable impact","3","Lack of Attention;Communication gap with peers;Not having proper environment;Teachers were not available to discuss doubts;Interest in writing diminished","5","Hybrid classes should be conducted occasionally to supplement regular teaching","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","Regular writing work","","","","","","","","","","","","","","","",""
"2022/11/01 9:08:53 am GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","3","Lack of Attention;Not having proper environment","5","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/11/01 10:45:49 am GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible","Internet unavailability;Power cuts","Hybrid classes should be conducted only during emergencies","4","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/11/01 10:49:17 am GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","4","Lack of Attention;Communication gap with peers;Not having proper environment","3","Hybrid classes should be conducted occasionally to supplement regular teaching","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/11/01 4:17:26 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible","","Hybrid classes should be conducted only during emergencies","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/11/01 6:38:02 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Regularly or most often","More study resources helped prepare for exams better;Syllabus was reduced","Unfamiliarity with technology","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/11/01 9:39:38 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Rarely","Recorded lectures made daily schedule flexible","","Hybrid classes should be conducted occasionally to supplement regular modes of learning","3","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/11/02 1:06:39 am GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Regularly or most often","","","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/11/07 9:44:26 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","4","2","Flexibility in conducting classes;Online resources helped demonstrate concepts more effectively","Poor interaction;Low attendance","They asked fewer doubts","Hybrid classes should be conducted occasionally to supplement regular modes of teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","",""
"2022/11/08 1:16:32 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","Syllabus was reduced","Internet unavailability;Laziness ","Hybrid classes should be conducted only during emergencies","1","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/11/12 4:06:46 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Attended but not very regular","Recorded lectures made daily schedule flexible","Lack of resources","Hybrid classes should be a regular provision to incorporate digital literacy","5","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/11/21 4:03:15 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","5","2","Flexibility in conducting classes","Poor interaction;Low attendance;Power cuts","They asked fewer doubts","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","",""
"2022/11/21 4:49:33 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","4","2","Flexibility in conducting classes;Saved time and effort during lectures","Poor interaction;Low attendance","It was nearly the same","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","",""
"2022/11/22 9:33:33 am GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","4","2","Flexibility in conducting classes","Power cuts","It was nearly the same","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","",""
"2022/11/22 2:20:13 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","5","2","Flexibility in conducting classes;Saved time and effort during lectures","Poor interaction;Low attendance","They asked fewer doubts","Hybrid classes should be conducted occasionally to supplement regular modes of teaching","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","",""
"2022/11/25 1:18:19 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Attended but not very regular","Recorded lectures made daily schedule flexible","Internet unavailability;Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/11/28 11:47:12 am GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","5","1","","","They asked fewer doubts","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","",""
"2022/12/12 10:17:09 am GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","4","Lack of Attention;Not having proper environment","4","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
